epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,131.487,1.47999,3.52034,0.00866,0.65477,0.19003,0.19479,0.11948,1.42763,2.55267,0.01058,0.00996063,0.00332021,0.00996063,0.00332021,0.00996063,0.00332021,0.00996063,0.00332021
2,206.077,1.47259,2.13436,0.00862,0.63703,0.27094,0.27012,0.15983,1.44141,2.00286,0.01085,0.0198618,0.00662061,0.0198618,0.00662061,0.0198618,0.00662061,0.0198618,0.00662061
3,277.658,1.50876,1.80019,0.00909,0.57856,0.2907,0.29719,0.16361,1.56907,1.70902,0.01303,0.029664,0.00988801,0.029664,0.00988801,0.029664,0.00988801,0.029664,0.00988801
4,349.31,1.55834,1.64397,0.00959,0.51147,0.28753,0.28696,0.16092,1.53974,1.68105,0.01302,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,419.778,1.56153,1.55374,0.00959,0.58993,0.29123,0.30231,0.1658,1.60869,1.5269,0.01333,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,491.184,1.54271,1.47069,0.0094,0.50443,0.33539,0.34398,0.20007,1.48205,1.38444,0.01179,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,562.545,1.53111,1.42743,0.00925,0.49135,0.38211,0.3799,0.22067,1.45842,1.27665,0.01163,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,634.176,1.5138,1.38454,0.00923,0.49378,0.38729,0.38631,0.22342,1.4616,1.27073,0.01204,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,705.089,1.50524,1.35385,0.00902,0.49175,0.39232,0.39129,0.22587,1.47127,1.22708,0.01167,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,775.903,1.49706,1.34477,0.009,0.51541,0.38729,0.3935,0.22883,1.4363,1.22843,0.01133,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,847.173,1.48725,1.31559,0.00893,0.56152,0.40093,0.41742,0.24386,1.44397,1.17216,0.01147,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,917.54,1.48408,1.31484,0.00887,0.52919,0.4166,0.41854,0.2415,1.4335,1.14889,0.01123,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,988.361,1.4854,1.29333,0.00871,0.56478,0.3827,0.39851,0.22978,1.4845,1.28823,0.01202,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,1059.14,1.47688,1.28261,0.00881,0.55509,0.42912,0.44959,0.26354,1.40723,1.12107,0.01104,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,1130.99,1.46198,1.24995,0.00864,0.57937,0.44616,0.46595,0.27824,1.36949,1.05853,0.01042,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,1202.07,1.46897,1.25092,0.00858,0.5723,0.4469,0.4694,0.27879,1.37152,1.0546,0.01043,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,1272.94,1.45798,1.24764,0.00852,0.56146,0.44271,0.45848,0.27405,1.37493,1.06413,0.01035,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1344.01,1.45542,1.23519,0.0086,0.58493,0.46836,0.47903,0.28931,1.34985,1.04231,0.01007,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,1414.82,1.457,1.2276,0.00846,0.58991,0.47335,0.48705,0.2927,1.37304,1.0271,0.01028,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,1485.37,1.45101,1.22239,0.00848,0.5705,0.46096,0.48107,0.28668,1.34881,1.02758,0.00997,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,1556.81,1.44092,1.20974,0.00847,0.60933,0.46664,0.49454,0.29585,1.35063,1.01789,0.01008,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,1628.24,1.43274,1.18357,0.00828,0.5966,0.47483,0.49954,0.30592,1.32913,0.99627,0.00996,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,1698.51,1.44572,1.20056,0.00835,0.60366,0.48248,0.50368,0.3066,1.32583,0.99987,0.00989,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,1768.87,1.43484,1.17656,0.0083,0.64354,0.48783,0.51361,0.31133,1.32985,0.97269,0.00983,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,1839.72,1.43005,1.16986,0.00833,0.59979,0.48984,0.51427,0.31131,1.316,0.96601,0.00968,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,1911.25,1.41518,1.15415,0.00818,0.62283,0.4854,0.51728,0.31369,1.31431,0.96457,0.00958,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,1982.04,1.42579,1.16661,0.00824,0.63299,0.48718,0.5248,0.3219,1.30115,0.94329,0.00942,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,2052.99,1.41663,1.1527,0.00818,0.63788,0.51217,0.53423,0.32909,1.29258,0.91451,0.00936,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,2124.05,1.41633,1.14904,0.00812,0.65653,0.50422,0.5416,0.33476,1.2959,0.92519,0.00919,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,2195.62,1.41518,1.13966,0.008,0.65663,0.51305,0.54881,0.33774,1.29908,0.91615,0.00936,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,2267.12,1.40648,1.12905,0.00807,0.62201,0.52602,0.55397,0.33931,1.29411,0.89616,0.00926,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,2337.55,1.41034,1.1296,0.00803,0.6286,0.51318,0.54148,0.33488,1.29301,0.9153,0.00932,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,2409.53,1.40696,1.125,0.00808,0.66287,0.50718,0.54729,0.33852,1.28571,0.90562,0.00927,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,2480.73,1.41174,1.1224,0.0081,0.65663,0.52296,0.56612,0.35024,1.27147,0.87572,0.00893,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,2552.75,1.40056,1.10278,0.00795,0.66872,0.53264,0.56969,0.35413,1.2628,0.87524,0.00893,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,2624.14,1.38707,1.09947,0.008,0.67788,0.52557,0.57059,0.35753,1.26819,0.87114,0.009,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,2695.68,1.39642,1.10659,0.00796,0.65642,0.54492,0.57729,0.36284,1.24438,0.85007,0.00869,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,2766.88,1.39009,1.08896,0.00787,0.65568,0.53732,0.57524,0.36218,1.25419,0.85971,0.00874,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,2838.55,1.38244,1.0844,0.00792,0.68184,0.5482,0.59208,0.3719,1.24515,0.85635,0.0088,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,2909.93,1.39009,1.09972,0.00788,0.69297,0.54788,0.59392,0.37277,1.23441,0.83788,0.00855,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,2981.82,1.38207,1.07666,0.00782,0.72007,0.54592,0.6036,0.37957,1.23413,0.83583,0.00853,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,3053.11,1.38852,1.07821,0.0078,0.67913,0.55272,0.59707,0.378,1.23574,0.84118,0.00849,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,3124.94,1.37914,1.07507,0.00781,0.69882,0.55607,0.60189,0.38088,1.22896,0.81619,0.00847,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,3196.24,1.38326,1.0743,0.00774,0.70196,0.55172,0.60591,0.38506,1.22587,0.82368,0.00839,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,3267.64,1.38174,1.07925,0.00772,0.70877,0.55699,0.60804,0.38543,1.21724,0.81271,0.00828,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,3338.69,1.36524,1.05593,0.00775,0.70328,0.56365,0.61507,0.3915,1.21152,0.80019,0.00826,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,3409.76,1.38088,1.06795,0.00771,0.70142,0.57148,0.62145,0.39427,1.20844,0.79633,0.00811,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,3480.8,1.3695,1.05737,0.00764,0.71292,0.56615,0.62015,0.39911,1.21019,0.78945,0.00819,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,3552.89,1.36567,1.04706,0.00777,0.69632,0.57837,0.62024,0.39687,1.21004,0.78823,0.00818,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,3623.53,1.37536,1.04733,0.00767,0.71874,0.56796,0.62037,0.39943,1.20564,0.78454,0.00813,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,3694.63,1.35871,1.04282,0.00771,0.71681,0.5713,0.62508,0.40399,1.19534,0.77822,0.008,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,3766.15,1.36468,1.04293,0.00768,0.71648,0.57517,0.63052,0.40886,1.18805,0.77227,0.00794,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,3837.38,1.35708,1.04119,0.00764,0.73873,0.57532,0.63644,0.41379,1.18453,0.76901,0.00791,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,3909.01,1.36257,1.03617,0.00758,0.73309,0.57251,0.6352,0.41115,1.18832,0.77306,0.00789,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,3979.72,1.36334,1.03113,0.00756,0.72903,0.58619,0.64032,0.4141,1.17989,0.75247,0.00781,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,4050.86,1.36131,1.03082,0.00746,0.73107,0.59182,0.64311,0.41505,1.18015,0.74966,0.00782,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,4121.66,1.34301,1.0181,0.00757,0.73658,0.59257,0.65177,0.42473,1.17258,0.7405,0.00773,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
